STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,airpol,Air pollutants and greenhouse gases,src_nfr,"Source sectors for emissions of air pollutants (Nomenclature for reporting, CLRTAP)",geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,1990,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,1991,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,1992,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,1993,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,1994,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,1995,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,1996,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,1997,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,1998,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,1999,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,2000,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,2001,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,2002,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,2003,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,2004,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,2005,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,2006,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,2007,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,2008,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,2009,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,2010,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,2011,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,2012,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,2013,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,2014,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,2015,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,2016,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,2017,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,2018,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,2019,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,2020,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LI,Liechtenstein,2021,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,1990,,3,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,1991,,3,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,1992,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,1993,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,1994,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,1995,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,1996,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,1997,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,1998,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,1999,,1,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,2000,,1,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,2001,,1,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,2002,,1,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,2003,,1,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,2004,,1,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,2005,,1,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,2006,,1,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,2007,,1,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,2008,,1,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,2009,,1,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,2010,,1,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,2011,,1,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,2012,,1,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,2013,,1,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,2014,,1,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,2015,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,2016,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,2017,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,2018,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,2019,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,2020,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,2021,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LT,Lithuania,2022,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,1990,,3,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,1991,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,1992,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,1993,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,1994,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,1995,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,1996,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,1997,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,1998,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,1999,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,2000,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,2001,,3,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,2002,,3,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,2003,,3,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,2004,,3,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,2005,,3,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,2006,,3,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,2007,,3,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,2008,,3,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,2009,,3,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,2010,,3,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,2011,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,2012,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,2013,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,2014,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,2015,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,2016,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,2017,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,2018,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,2019,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,2020,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,2021,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,LV,Latvia,2022,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,MT,Malta,1990,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,MT,Malta,1991,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,MT,Malta,1992,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,MT,Malta,1993,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,MT,Malta,1994,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,MT,Malta,1995,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,MT,Malta,1996,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,MT,Malta,1997,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,MT,Malta,1998,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,MT,Malta,1999,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,MT,Malta,2000,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,MT,Malta,2001,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,MT,Malta,2002,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,MT,Malta,2003,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,MT,Malta,2004,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,MT,Malta,2005,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,MT,Malta,2006,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,MT,Malta,2007,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,MT,Malta,2008,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,MT,Malta,2009,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,MT,Malta,2010,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,MT,Malta,2011,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,MT,Malta,2012,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,MT,Malta,2013,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,MT,Malta,2014,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,MT,Malta,2015,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,MT,Malta,2016,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,MT,Malta,2017,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,MT,Malta,2018,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CR,Chromium (Cr),NFR_TOT_NAT_C,National total for compliance assessment,MT,Malta,2019,,0,,,,,
