STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,tax,Taxes,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,BG,Bulgaria,2023,,3176.26,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CH,Switzerland,2014,,7268.44,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CH,Switzerland,2015,,8484.09,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CH,Switzerland,2016,,8587.09,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CH,Switzerland,2017,,8518.01,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CH,Switzerland,2018,,8620.47,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CH,Switzerland,2019,,9046.56,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CH,Switzerland,2020,,9036.74,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CH,Switzerland,2021,,9187.76,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CH,Switzerland,2022,,9888.9,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CH,Switzerland,2023,,9832.04,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CY,Cyprus,2014,,591.97,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CY,Cyprus,2015,,603.29,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CY,Cyprus,2016,,614.33,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CY,Cyprus,2017,,662.26,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CY,Cyprus,2018,,674.6,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CY,Cyprus,2019,,644.17,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CY,Cyprus,2020,,580.58,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CY,Cyprus,2021,,639.3,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CY,Cyprus,2022,,610.14,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CY,Cyprus,2023,,661.05,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CZ,Czechia,2014,,3346.96,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CZ,Czechia,2015,,3477.33,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CZ,Czechia,2016,,3728.38,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CZ,Czechia,2017,,3896.98,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CZ,Czechia,2018,,4129.14,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CZ,Czechia,2019,,4594.86,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CZ,Czechia,2020,,4148.06,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CZ,Czechia,2021,,4373.44,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CZ,Czechia,2022,,4076.53,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,CZ,Czechia,2023,,4957.42,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,DE,Germany,2014,,81776,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,DE,Germany,2015,,80837,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,DE,Germany,2016,,82463,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,DE,Germany,2017,,85260,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,DE,Germany,2018,,84559,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,DE,Germany,2019,,85723,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,DE,Germany,2020,,82858,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,DE,Germany,2021,,81966,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,DE,Germany,2022,,73094,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,DE,Germany,2023,,71407,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,DK,Denmark,2014,,10651.75,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,DK,Denmark,2015,,10846.5,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,DK,Denmark,2016,,11082.03,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,DK,Denmark,2017,,10790.34,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,DK,Denmark,2018,,10815.22,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,DK,Denmark,2019,,10246.59,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,DK,Denmark,2020,,9891.28,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,DK,Denmark,2021,,9703.62,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,DK,Denmark,2022,,9040.24,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,DK,Denmark,2023,,7716.67,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,EE,Estonia,2014,,590.22,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,EE,Estonia,2015,,629.38,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,EE,Estonia,2016,,719.64,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,EE,Estonia,2017,,763.88,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,EE,Estonia,2018,,781.77,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,EE,Estonia,2019,,974.59,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,EE,Estonia,2020,,747.47,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,EE,Estonia,2021,,818.88,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,EE,Estonia,2022,,923.91,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,EE,Estonia,2023,,995.14,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,EL,Greece,2014,,7270,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,EL,Greece,2015,,7401,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,EL,Greece,2016,,7281,,,,,
