STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,sizeclas,Size classes in number of employees,indic_sbs,Economic indicator for structural business statistics,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",AT,Austria,2021,,589615,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",AT,Austria,2022,,583947,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",BE,Belgium,2021,,843146,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",BE,Belgium,2022,,888925,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",BG,Bulgaria,2021,,382086,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",BG,Bulgaria,2022,,394135,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",CY,Cyprus,2021,,83062,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",CY,Cyprus,2022,,87707,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",CZ,Czechia,2021,,1254110,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",CZ,Czechia,2022,,1292436,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",DE,Germany,2021,,3145703,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",DE,Germany,2022,,3164855,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",DK,Denmark,2021,,291188,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",DK,Denmark,2022,,380208,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",EE,Estonia,2021,,136867,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",EE,Estonia,2022,,153907,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",EL,Greece,2021,,880349,,b,break in time series,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",EL,Greece,2022,,917441,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",ES,Spain,2021,,3416248,,b,break in time series,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",ES,Spain,2022,,3487503,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",FI,Finland,2015,,390370,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",FI,Finland,2016,,389722,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",FI,Finland,2017,,399436,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",FI,Finland,2018,,403893,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",FI,Finland,2019,,413789,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",FI,Finland,2020,,422324,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",FI,Finland,2021,,429231,,b,break in time series,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",FI,Finland,2022,,442264,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",FR,France,2021,,4827641,,b,break in time series,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",FR,France,2022,,5202687,,b,break in time series,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",HR,Croatia,2021,,217553,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",HR,Croatia,2022,,227408,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",HU,Hungary,2021,,949587,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",HU,Hungary,2022,,976964,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",IE,Ireland,2021,,368864,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",IE,Ireland,2022,,389654,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",IS,Iceland,2015,,36419,,e,estimated,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",IS,Iceland,2016,,38186,,e,estimated,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",IS,Iceland,2017,,39809,,e,estimated,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",IS,Iceland,2018,,40858,,e,estimated,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",IS,Iceland,2019,,41670,,e,estimated,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",IS,Iceland,2020,,42215,,e,estimated,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",IS,Iceland,2021,,44278,,e,estimated,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",IS,Iceland,2022,,44981,,e,estimated,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",IT,Italy,2021,,4462146,,b,break in time series,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",IT,Italy,2022,,4579525,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",LT,Lithuania,2021,,300186,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",LT,Lithuania,2022,,329361,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",LU,Luxembourg,2021,,41841,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",LU,Luxembourg,2022,,45021,,b,break in time series,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",LV,Latvia,2021,,138359,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",LV,Latvia,2022,,145441,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",MK,North Macedonia,2021,,65735,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",MK,North Macedonia,2022,,66577,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",MT,Malta,2021,,52095,,b,break in time series,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",MT,Malta,2022,,51506,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",NL,Netherlands,2021,,2052683,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",NL,Netherlands,2022,,2204281,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",PL,Poland,2021,,2665170,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",PL,Poland,2022,,2675865,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",PT,Portugal,2021,,1231887,,b,break in time series,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",PT,Portugal,2022,,1329175,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",RO,Romania,2021,,934417,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",RO,Romania,2022,,974968,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",RS,Serbia,2021,,213099,,b,break in time series,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",RS,Serbia,2022,,205316,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",SE,Sweden,2021,,1031880,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",SE,Sweden,2022,,835543,,b,break in time series,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",SI,Slovenia,2021,,185655,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",SI,Slovenia,2022,,194876,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",SK,Slovakia,2021,,595131,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",SK,Slovakia,2022,,635781,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",TR,Türkiye,2021,,3600429,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",TR,Türkiye,2022,,3806819,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,C10-C12,Manufacture of food products; beverages and tobacco products,AT,Austria,2021,,4761,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,C10-C12,Manufacture of food products; beverages and tobacco products,AT,Austria,2022,,4913,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,C10-C12,Manufacture of food products; beverages and tobacco products,BE,Belgium,2021,,,,,,C,confidential
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,C10-C12,Manufacture of food products; beverages and tobacco products,BE,Belgium,2022,,7959,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,C10-C12,Manufacture of food products; beverages and tobacco products,BG,Bulgaria,2021,,5907,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,C10-C12,Manufacture of food products; beverages and tobacco products,BG,Bulgaria,2022,,5901,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,C10-C12,Manufacture of food products; beverages and tobacco products,CY,Cyprus,2021,,958,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,C10-C12,Manufacture of food products; beverages and tobacco products,CY,Cyprus,2022,,959,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,C10-C12,Manufacture of food products; beverages and tobacco products,CZ,Czechia,2021,,12274,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,C10-C12,Manufacture of food products; beverages and tobacco products,CZ,Czechia,2022,,13039,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,C10-C12,Manufacture of food products; beverages and tobacco products,DE,Germany,2021,,27965,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,C10-C12,Manufacture of food products; beverages and tobacco products,DE,Germany,2022,,27709,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,C10-C12,Manufacture of food products; beverages and tobacco products,DK,Denmark,2021,,1603,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,C10-C12,Manufacture of food products; beverages and tobacco products,DK,Denmark,2022,,1742,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,C10-C12,Manufacture of food products; beverages and tobacco products,EE,Estonia,2021,,996,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,C10-C12,Manufacture of food products; beverages and tobacco products,EE,Estonia,2022,,1076,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,C10-C12,Manufacture of food products; beverages and tobacco products,EL,Greece,2021,,15911,,b,break in time series,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,C10-C12,Manufacture of food products; beverages and tobacco products,EL,Greece,2022,,15926,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,C10-C12,Manufacture of food products; beverages and tobacco products,ES,Spain,2021,,30586,,b,break in time series,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,TOTAL,Total,TOTAL,Total,ENT_NR,Enterprises - number,C10-C12,Manufacture of food products; beverages and tobacco products,ES,Spain,2022,,30094,,,,,
